MSW93_Order	MSW93_Family	MSW93_Genus	MSW93_Species	MSW93_Binomial	1-1_ActivityCycle	5-1_AdultBodyMass_g	8-1_AdultForearmLen_mm	13-1_AdultHeadBodyLen_mm	2-1_AgeatEyeOpening_d	3-1_AgeatFirstBirth_d	18-1_BasalMetRate_mLO2hr	5-2_BasalMetRateMass_g	6-1_DietBreadth	7-1_DispersalAge_d	9-1_GestationLen_d	12-1_HabitatBreadth	22-1_HomeRange_km2	22-2_HomeRange_Indiv_km2	14-1_InterBirthInterval_d	15-1_LitterSize	16-1_LittersPerYear	17-1_MaxLongevity_m	5-3_NeonateBodyMass_g	13-2_NeonateHeadBodyLen_mm	21-1_PopulationDensity_n/km2	10-1_PopulationGrpSize	23-1_SexualMaturityAge_d	10-2_SocialGrpSize	24-1_TeatNumber	12-2_Terrestriality	6-2_TrophicLevel	25-1_WeaningAge_d	5-4_WeaningBodyMass_g	13-3_WeaningHeadBodyLen_mm	References	5-5_AdultBodyMass_g_EXT	16-2_LittersPerYear_EXT	5-6_NeonateBodyMass_g_EXT	5-7_WeaningBodyMass_g_EXT	26-1_GR_Area_km2	26-2_GR_MaxLat_dd	26-3_GR_MinLat_dd	26-4_GR_MRLat_dd	26-5_GR_MaxLong_dd	26-6_GR_MinLong_dd	26-7_GR_MRLong_dd	27-1_HuPopDen_Min_n/km2	27-2_HuPopDen_Mean_n/km2	27-3_HuPopDen_5p_n/km2	27-4_HuPopDen_Change	28-1_Precip_Mean_mm	28-2_Temp_Mean_01degC	30-1_AET_Mean_mm	30-2_PET_Mean_mm
Primates	Cercopithecidae	Allenopithecus	nigroviridis	Allenopithecus nigroviridis	3	4750	-999	459.99	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1.01	-999	276	242	-999	-999	-999	-999	40	-999	-999	-999	102.92	-999	-999	208;543;1297;1544;1547;1848;2344;2655	-999	-999	-999	-999	609031	3.5	-3.85	-0.17	25.29	16.08	20.68	1	8.59	1	0.16	157.4	251.65	1517.75	1589.35
Primates	Cheirogaleidae	Allocebus	trichotis	Allocebus trichotis	2	78.9	-999	133.99	-999	-999	-999	-999	4	-999	-999	1	-999	-999	-999	1	1	-999	-999	-999	-999	2	-999	1	-999	2	2	-999	-999	125	899;1046;1261;1544;1547;1848;2151;2344;2655	-999	-999	-999	55.3	42488	-13.99	-19.18	-16.59	50.48	48.22	49.35	8	30.01	11	0.17	190.23	203.17	1388.15	1653.74
Primates	Cebidae	Alouatta	belzebul	Alouatta belzebul	3	6180	-999	551.22	-999	-999	-999	-999	-999	-999	-999	1	-999	-999	-999	-999	-999	-999	-999	-999	17	-999	-999	7.4	-999	2	-999	-999	-999	-999	905;1544;1547;1848;2151;2344;2655;2986	-999	-999	-999	-999	1904877	0.08	-13.69	-6.8	-34.79	-60.64	-47.71	0	16.71	0	0.12	164.32	248.74	1286.64	1549.93
Primates	Cebidae	Alouatta	caraya	Alouatta caraya	3	5590	-999	559.01	-999	1354.15	-999	-999	3	-999	185.98	-999	-999	-999	337.62	1.01	-999	243.6	262	-999	80	-999	1094.03	8.9	-999	-999	1	321.06	-999	-999	67;208;543;702;730;890;1297;1544;1547;1848;2128;2151;2344;2493;2655;2660;2986	-999	1.16	-999	-999	1534736	-12.1	-28.59	-20.34	-44.44	-65.47	-54.96	0	12.01	1	0.11	116.64	229.01	1193.12	1404.85
Primates	Cebidae	Alouatta	coibensis	Alouatta coibensis	3	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	5.2	-999	-999	-999	-999	-999	-999	1544;2151	-999	-999	-999	-999	1159	7.94	7.31	7.63	-81.23	-81.89	-81.56	7	14.66	7	0.15	162	266	-999	-999
Primates	Cebidae	Alouatta	fusca	Alouatta fusca	3	5190	-999	515.31	-999	-999	-999	-999	4	-999	-999	1	0.03	-999	-999	-999	-999	-999	-999	-999	89.1	-999	-999	7.4	-999	2	1	-999	-999	-999	890;905;1039;1132;1544;1848;2128;2151;2344;2488;2655;2986	-999	-999	-999	-999	825479	-12.66	-29.6	-21.13	-38.58	-54.7	-46.64	5	105.77	12	0.06	133.23	196.32	1225.7	1332.19
Primates	Cebidae	Alouatta	palliata	Alouatta palliata	3	6580	-999	577.23	-999	1382.13	2027.4	4670	2	-999	185.48	1	0.19	0.21	684.37	1.01	-999	300	319	-999	59	-999	1368.74	13.1	-999	2	1	492.38	1060	-999	208;543;702;730;890;905;1297;1544;1547;1577;1763;1767;1822;1848;2128;2151;2344;2489;2493;2655;2660;2986	-999	0.81	-999	-999	559555	18.71	-4.8	6.95	-76.77	-95.57	-86.17	2	62.18	4	0.13	185.26	237.38	1299.96	1633.87
Primates	Cebidae	Alouatta	pigra	Alouatta pigra	3	7200	-999	567.8	-999	-999	-999	-999	2	-999	185.98	1	0.3	0.29	-999	1.01	-999	240	480	-999	8.54	-999	-999	5.5	-999	2	1	-999	-999	-999	543;702;730;905;1297;1544;1547;1848;2151;2344;2655;2660;2986	-999	-999	-999	-999	91385	21.6	16	18.8	-86.73	-92.43	-89.58	3	16.53	3	0.24	134.13	250.78	1373.84	1580.84
Primates	Cebidae	Alouatta	sara	Alouatta sara	3	6610	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	-999	1544;2151;2655	-999	-999	-999	-999	526742	-9.94	-19.49	-14.72	-57.79	-69.22	-63.5	0	3.04	0	0.13	109.48	244.89	1270.73	1488.29
Primates	Cebidae	Alouatta	seniculus	Alouatta seniculus	3	6420	-999	561.25	-999	1671.7	-999	-999	6	-999	189.96	1	0.1	0.11	507.35	1.01	-999	300	294	-999	44.5	-999	1475.2	7.9	-999	2	2	367.63	-999	-999	208;451;543;702;730;890;905;1201;1297;1544;1547;1848;2128;2151;2308;2344;2431;2489;2493;2655;2660;2986	-999	0.94	-999	-999	4180384	12.2	-10.84	0.68	-49.88	-77.13	-63.5	0	15.42	0	0.11	174.51	250.34	1470.06	1620.88
